coef_SBS10c Status
X12478.p1 0.402384218311021 Normal_trios
X75070 0.311617523321525 Normal_trios
X31770 0.24628641964742 Normal_trios
X13644.s1 0.225901913604553 Normal_trios
X11256.p1 0.417775503231784 Normal_trios
X149735 0.191200929332675 Normal_trios
X139512 0.306994112393961 Normal_trios
X13592.p1 0.325591019662233 Normal_trios
X9336 0.3217542391437 Normal_trios
X11622.p1 0.3408627542557 Normal_trios
X14484.s1 0.328511449954113 Normal_trios
X12010.p1 0.499458250407655 Normal_trios
X13066.s1 0.273996278842669 Normal_trios
X12817.s1 0.32224011766511 Normal_trios
X85911 0.19412073715552 Normal_trios
X14492.s1 0.191332852030374 Normal_trios
X13634.s1 0.346449021433671 Normal_trios
X133080 0.284398908950845 Normal_trios
X85117 0.238443053613407 Normal_trios
X13373.s1 0.215884766273396 Normal_trios
X14070.p1 0.24096410532511 Normal_trios
X39263 0.205677909128651 Normal_trios
X14006.s1 0.233163679576397 Normal_trios
X12716.s1 0.299672346019114 Normal_trios
X128162 0.182774320921208 Normal_trios
X13064.s1 0.299727268535411 Normal_trios
X14134.s1 0.201411495047861 Normal_trios
X13738.p1 0.162986196088779 Normal_trios
X126148 0.225730152372463 Normal_trios
X12373.s1 0.173080802743368 Normal_trios
X22106.s1 0.192336264024149 Normal_trios
X14613.p1 0.314357942056853 Normal_trios
X14151.s1 0.27266825546262 Normal_trios
X69398 0.27926149699136 Normal_trios
X106982 0.206375649372537 Normal_trios
X117135 0.198883583890458 Normal_trios
X4526 0.223065396955858 Normal_trios
X11872.s1 0.238379615516475 Normal_trios
X13346.p1 0.292941439200476 Normal_trios
X11838.p1 0.193660814698964 Normal_trios
X14237.s1 0.22055717465534 Normal_trios
X13443.s1 0.219984785596241 Normal_trios
X14497.s1 0.220589518828461 Normal_trios
X14070.s1 0.249872293292801 Normal_trios
X14026.s1 0.2508711223518 Normal_trios
X14410.p1 0.223084942597744 Normal_trios
X13746.s1 0.333171163823853 Normal_trios
X14233.p1 0.176327693166551 Normal_trios
X63103 0.194426137585761 Normal_trios
X119874 0.169404945333095 Normal_trios
X12692 0.30869078340274 Normal_trios
X84001 0.162286035176814 Normal_trios
X69597 0.372109951399154 Normal_trios
X11545.s1 0.20699361819013 Normal_trios
X143074 0.365076059238961 Normal_trios
X11897.p1 0.262802907744685 Normal_trios
X14364.s1 0.205042478688656 Normal_trios
X13867.s2 0.299236986265607 Normal_trios
X60801 0.337235928920656 Normal_trios
X11018.s1 0.317599832679821 Normal_trios
X63275 0.291455678187108 Normal_trios
X19182 0.224674469918104 Normal_trios
X131617 0.285630205025708 Normal_trios
X11490.p1 0.340081144200138 Normal_trios
X11679.s1 0.254604977264527 Normal_trios
X13153.p1 0.297438711377378 Normal_trios
X12412.s1 0.226675025706889 Normal_trios
X14433.p1 0.269250927672896 Normal_trios
X14489.s1 0.206797728425778 Normal_trios
X75011 0.290083559750462 Normal_trios
X86139 0.275195938965999 Normal_trios
X130513 0.328791034989532 Normal_trios
X14412.p1 0.186130972991633 Normal_trios
X54944 0.267663811885468 Normal_trios
X11556.s1 0.338847615105516 Normal_trios
X91626 0.23306524329895 Normal_trios
X71217 0.30605525130447 Normal_trios
X83295 0.294310041347559 Normal_trios
X11359.p1 0.243314098577182 Normal_trios
X13338.s1 0.22811070866008 Normal_trios
X11383.s1 0.18244930444366 Normal_trios
X67107 0.202351883723456 Normal_trios
X14307.p1 0.329154412820703 Normal_trios
X112897 0.235680333422828 Normal_trios
X83664 0.265896616016018 Normal_trios
X71698 0.256261507209265 Normal_trios
X44857 0.253760176165819 Normal_trios
X14414.s1 0.274714884612544 Normal_trios
X13006.s1 0.189908631825028 Normal_trios
X38265 0.229440104726523 Normal_trios
X13012.p1 0.26855414059359 Normal_trios
X8822 0.235076406393268 Normal_trios
X11474.s1 0.273504545407312 Normal_trios
X14523.p1 0.288630245734316 Normal_trios
X103250 0.379551215558506 Normal_trios
X11099.p1 0.283765191571246 Normal_trios
X90639 0.381011500314109 Normal_trios
X11109.p1 0.23495126171009 Normal_trios
X11491.p1 0.193200533069593 Normal_trios
X29844 0.304941185555412 Normal_trios
X107795 0.181089781670265 Normal_trios
X92337 0.215621125483332 Normal_trios
X13383.s1 0.226113937909845 Normal_trios
X13287.p1 0.225941023843377 Normal_trios
X13825.p1 0.262669534878316 Normal_trios
X84216 0.267376717613669 Normal_trios
X126581 0.22560065123123 Normal_trios
X14268.s1 0.23264014538182 Normal_trios
X133117 0.323340275473613 Normal_trios
X11644.s1 0.274585725927585 Normal_trios
X13076.p1 0.291208678488548 Normal_trios
X13498.p1 0.354755961688661 Normal_trios
