PC1 PC2 PC3 PC4 PC5 PC6
38070 0.113601104695215 0.0905846937392817 -0.0741370949147992 0.0953547753392313 -0.131530398626076 0.0827572297314759
64700 0.18025220047298 0.0866915232396773 0.0554848163787568 -0.105878304480949 -0.0749905606050437 -0.0712106339367666
48255 0.367352304382921 -0.126029850959434 -0.0359613785671763 0.0579796289141327 0.14892704996912 -0.177998607801608
12225.s1 0.240770263120404 -0.0896189422628794 0.201990662656442 -0.0839771134093144 -0.0263745635925939 -0.113254562785696
26413 0.265704529100622 0.112176918602376 0.0176480618180108 -0.0406100185382567 -0.136090296617233 -0.0163972856340971
21533 0.0964651319930136 -0.0822394860295132 0.133107275004502 -0.0167392673999477 -0.129730550853589 -0.113488006153944
12974.p1 0.29937217764996 -0.00385943988976322 0.0275966021348003 0.129267179671702 -0.102032175723739 -0.00989659370926881
45716 -0.0416079612493934 0.217102090353985 0.00515462282494609 0.0438737457403228 -0.0285234869233707 0.0413828206698736
14402.s1 0.29674847014807 0.152925213086239 0.0961151314547205 -0.0469520516435859 0.103048192092304 0.0901426815108788
93974 0.152159245504336 -0.138590112841764 0.199289194589287 -0.0454993270602123 -0.133097769469683 -0.0531299453620013
129650 0.37977184686402 0.00816248809375444 0.0355746563553294 -0.166802480748478 -0.0871176576513089 0.0272338886275556
11869.s1 0.138942973401586 0.021210101374881 -0.0152219648545611 -0.119831088299123 -0.201905624263063 0.0782086416181326
11471.s1 0.205795467535804 -0.0715493753741832 -0.180775541184301 0.041388671887016 -0.0112217429995669 -0.0323302436929806
66963 0.378003612320377 -0.118793839693034 -0.16111892010849 -0.0541526373497284 -0.0132840556579436 0.0769256729073176
14582.s1 0.354435881123016 0.114046761462124 0.0222887723598781 -0.217882444615386 0.0923089514831463 -0.0322210754220746
58148 -0.00347312746059584 0.141679468593124 0.0795312025802972 0.0484656364621272 -0.116237316822442 0.0622885157267378
12221.s1 0.105986098461287 0.0227474477012169 0.229618361529397 -0.19877594784467 -0.0505684590364504 -0.0901407509717127
83375 0.312854728768249 0.147936551347132 0.0107734844209147 -0.0138913619820798 0.142135327937332 0.023033105628038
14686.p1 0.302688066711061 -0.193681014146548 0.412244766651375 -0.125004267204947 0.0711540859925823 0.195143084170013
13069.s1 0.0369825572021084 0.190329780740406 -0.0632545798484329 -0.0630424871728274 0.0494005133312279 -0.11323456479746
46468 0.162179324237287 -0.0670975551770066 0.237626533015508 -0.0122393998687657 -0.0265674460329437 -0.281017994519659
93529 0.182966945386485 0.104300611989267 0.106269017475485 -0.0575200802748647 0.0664379535917913 -0.112488355909327
13879.p1 0.260769745121754 0.176520117051532 -0.146760839292025 0.287327072547174 0.257128104714138 0.0879075461119721
12743.p1 0.12493631257256 0.0446377006633547 0.223328651224207 0.2166220393361 -0.0229690622820484 -0.0583049109369621
32292 0.143436485899152 -0.149266593066348 -0.0718641662018543 -0.0707957473782643 0.177193480643183 -0.177236184231806
122290 0.110377184240013 -0.0621293620249047 -0.0174407365118767 -0.125629404977061 -0.0579475466460052 -0.0650776957968877
13168.s1 0.335751902435988 0.199689962050886 0.046392935948698 0.0866396727323053 0.103109117052789 -0.202792130883595
81360 -0.0168691697711709 -0.156518668377267 0.152590567019648 0.0299099405955731 0.0464869741015568 -0.166311212443003
13570.p1 0.0815524429647634 0.028059916282292 0.00608549068822574 -0.281409597685442 0.179165543915478 -0.155471097867407
11376.s1 0.217143388181656 -0.00601591330195828 0.0366261767374523 -0.208523297506081 -0.215912073863569 -0.0821138821184735
11225.s1 0.304133383039026 0.0751142311655183 -0.137539651133269 -0.0389527612459439 -0.141233725365778 -0.123633539310147
43621 0.0924205486222198 0.0452540088420928 0.0191411265533545 0.0271189020942373 0.173416591806546 -0.0961033099656236
152042 0.135617881174633 0.271671104618118 0.0237850538348309 -0.0421995394006198 -0.32468173791897 0.00366320760222878
14590.s1 0.272218844462392 -0.153118752505451 -0.146453560066769 -0.312416739711711 -0.211863683947433 -0.00683601355143148
11919.s1 0.224412445395965 0.0251087359365286 -0.0403033173286784 -0.18375925339496 0.0715451449784489 -0.356925066815235
